nohup: ignoring input
Namespace(batch_size=64, clip=0.4, cuda=False, gpus='0', lr=0.1, momentum=0.9, nEpochs=50, pretrained='', resume='', start_epoch=1, step=10, threads=1, weight_decay=0.0001)
Random Seed:  2660
===> Loading datasets
2118371 data samples found
===> Building model
/home/me-user/anaconda3/envs/mullenj/lib/python3.8/site-packages/torch/nn/_reduction.py:44: UserWarning: size_average and reduce args will be deprecated, please use reduction='sum' instead.
  warnings.warn(warning.format(ret))
===> Setting GPU
===> Setting Optimizer
===> Training
Epoch = 1, lr = 0.1
main_vdsr.py:148: UserWarning: torch.nn.utils.clip_grad_norm is now deprecated in favor of torch.nn.utils.clip_grad_norm_.
  nn.utils.clip_grad_norm(model.parameters(),opt.clip)
===> Epoch[1](188/26479): Loss: 16746.6796875000
===> Epoch[1](189/26479): Loss: 22680.1406250000
===> Epoch[1](190/26479): Loss: 6802.4882812500
===> Epoch[1](191/26479): Loss: 18134.9218750000
===> Epoch[1](192/26479): Loss: 10558.8828125000
===> Epoch[1](193/26479): Loss: 11664.2636718750
===> Epoch[1](194/26479): Loss: 14062.4873046875
===> Epoch[1](195/26479): Loss: 15313.5546875000
===> Epoch[1](196/26479): Loss: 15985.2275390625
===> Epoch[1](197/26479): Loss: 19291.4179687500
===> Epoch[1](198/26479): Loss: 11776.8769531250
===> Epoch[1](199/26479): Loss: 12104.3623046875
===> Epoch[1](200/26479): Loss: 13592.2207031250
===> Epoch[1](201/26479): Loss: 16618.1347656250
===> Epoch[1](202/26479): Loss: 14073.7753906250
===> Epoch[1](203/26479): Loss: 16093.3808593750
===> Epoch[1](204/26479): Loss: 13751.0917968750
===> Epoch[1](205/26479): Loss: 12931.9404296875
===> Epoch[1](206/26479): Loss: 18204.2382812500
===> Epoch[1](207/26479): Loss: 11074.7871093750
===> Epoch[1](208/26479): Loss: 11688.1894531250
===> Epoch[1](209/26479): Loss: 12860.9375000000
===> Epoch[1](210/26479): Loss: 15818.1347656250
===> Epoch[1](211/26479): Loss: 17162.5781250000
===> Epoch[1](212/26479): Loss: 15527.7187500000
===> Epoch[1](213/26479): Loss: 12949.8457031250
===> Epoch[1](214/26479): Loss: 10463.1542968750
===> Epoch[1](215/26479): Loss: 11773.8906250000
===> Epoch[1](216/26479): Loss: 19748.8222656250
===> Epoch[1](217/26479): Loss: 10478.2207031250
===> Epoch[1](218/26479): Loss: 12606.7753906250
===> Epoch[1](219/26479): Loss: 13542.3369140625
===> Epoch[1](220/26479): Loss: 11525.6123046875
===> Epoch[1](221/26479): Loss: 18575.6914062500
===> Epoch[1](222/26479): Loss: 11405.1796875000
===> Epoch[1](223/26479): Loss: 20993.1914062500
===> Epoch[1](224/26479): Loss: 13536.0351562500
===> Epoch[1](225/26479): Loss: 10312.3261718750
===> Epoch[1](226/26479): Loss: 10096.0703125000
===> Epoch[1](227/26479): Loss: 15755.8632812500
===> Epoch[1](228/26479): Loss: 18060.4960937500
===> Epoch[1](229/26479): Loss: 13007.7597656250
===> Epoch[1](230/26479): Loss: 17893.6386718750
===> Epoch[1](231/26479): Loss: 12674.8730468750
===> Epoch[1](232/26479): Loss: 14501.7597656250
===> Epoch[1](233/26479): Loss: 15624.1767578125
===> Epoch[1](234/26479): Loss: 14639.2001953125
===> Epoch[1](235/26479): Loss: 16446.6132812500
===> Epoch[1](236/26479): Loss: 12034.4355468750
===> Epoch[1](237/26479): Loss: 12351.6367187500
===> Epoch[1](238/26479): Loss: 6715.6132812500
===> Epoch[1](239/26479): Loss: 10807.6250000000
===> Epoch[1](240/26479): Loss: 14960.5527343750
===> Epoch[1](241/26479): Loss: 11328.6523437500
===> Epoch[1](242/26479): Loss: 7478.2939453125
===> Epoch[1](243/26479): Loss: 10937.5517578125
===> Epoch[1](244/26479): Loss: 11112.9062500000
===> Epoch[1](245/26479): Loss: 17723.2109375000
===> Epoch[1](246/26479): Loss: 16040.7656250000
===> Epoch[1](247/26479): Loss: 12016.3105468750
===> Epoch[1](248/26479): Loss: 12632.5419921875
===> Epoch[1](249/26479): Loss: 15605.1650390625
===> Epoch[1](250/26479): Loss: 11785.1279296875
===> Epoch[1](251/26479): Loss: 10894.2490234375
===> Epoch[1](252/26479): Loss: 11642.9628906250
===> Epoch[1](253/26479): Loss: 10394.3828125000
===> Epoch[1](254/26479): Loss: 21223.3632812500
===> Epoch[1](255/26479): Loss: 9535.7070312500
===> Epoch[1](256/26479): Loss: 11200.8955078125
===> Epoch[1](257/26479): Loss: 15375.6835937500
===> Epoch[1](258/26479): Loss: 11247.9667968750
===> Epoch[1](259/26479): Loss: 12238.0439453125
===> Epoch[1](260/26479): Loss: 8648.4375000000
===> Epoch[1](261/26479): Loss: 8981.9296875000
===> Epoch[1](262/26479): Loss: 11383.5322265625
===> Epoch[1](263/26479): Loss: 11428.6699218750
===> Epoch[1](264/26479): Loss: 14153.5722656250
===> Epoch[1](265/26479): Loss: 8461.0048828125
===> Epoch[1](266/26479): Loss: 8552.9658203125
===> Epoch[1](267/26479): Loss: 16107.2500000000
===> Epoch[1](268/26479): Loss: 38932.9218750000
===> Epoch[1](269/26479): Loss: 39676.0625000000
===> Epoch[1](270/26479): Loss: 13937.3125000000
===> Epoch[1](271/26479): Loss: 12812.5429687500
===> Epoch[1](272/26479): Loss: 11680.5732421875
===> Epoch[1](273/26479): Loss: 12257.6025390625
===> Epoch[1](274/26479): Loss: 10038.8544921875
===> Epoch[1](275/26479): Loss: 11194.4531250000
===> Epoch[1](276/26479): Loss: 19279.7363281250
===> Epoch[1](277/26479): Loss: 26281.4140625000
===> Epoch[1](278/26479): Loss: 20861.5097656250
===> Epoch[1](279/26479): Loss: 18148.3496093750
===> Epoch[1](280/26479): Loss: 15418.8554687500
===> Epoch[1](281/26479): Loss: 14126.4160156250
===> Epoch[1](282/26479): Loss: 16098.2597656250
===> Epoch[1](283/26479): Loss: 9170.9765625000
===> Epoch[1](284/26479): Loss: 12874.4208984375
===> Epoch[1](285/26479): Loss: 12181.0195312500
===> Epoch[1](286/26479): Loss: 12885.5195312500
===> Epoch[1](287/26479): Loss: 12003.6367187500
===> Epoch[1](288/26479): Loss: 12935.3994140625
===> Epoch[1](289/26479): Loss: 10676.8935546875
===> Epoch[1](290/26479): Loss: 8639.6513671875
===> Epoch[1](291/26479): Loss: 9819.9394531250
===> Epoch[1](292/26479): Loss: 12553.1054687500
===> Epoch[1](293/26479): Loss: 16686.6835937500
===> Epoch[1](294/26479): Loss: 12646.5859375000
===> Epoch[1](295/26479): Loss: 17134.3339843750
===> Epoch[1](296/26479): Loss: 8343.9218750000
===> Epoch[1](297/26479): Loss: 11029.0371093750
===> Epoch[1](298/26479): Loss: 11253.5712890625
===> Epoch[1](299/26479): Loss: 9486.8339843750
===> Epoch[1](300/26479): Loss: 11731.3779296875
===> Epoch[1](301/26479): Loss: 19664.1347656250
===> Epoch[1](302/26479): Loss: 16591.2500000000
===> Epoch[1](303/26479): Loss: 12482.6279296875
===> Epoch[1](304/26479): Loss: 12677.2216796875
===> Epoch[1](305/26479): Loss: 15715.8867187500
===> Epoch[1](306/26479): Loss: 24706.9218750000
===> Epoch[1](307/26479): Loss: 19120.1015625000
===> Epoch[1](308/26479): Loss: 16123.6962890625
===> Epoch[1](309/26479): Loss: 11066.2753906250
===> Epoch[1](310/26479): Loss: 16653.0332031250
===> Epoch[1](311/26479): Loss: 8445.2246093750
===> Epoch[1](312/26479): Loss: 10039.9667968750
===> Epoch[1](313/26479): Loss: 9794.1406250000
===> Epoch[1](314/26479): Loss: 9866.1718750000
===> Epoch[1](315/26479): Loss: 14736.9902343750
===> Epoch[1](316/26479): Loss: 19641.1875000000
===> Epoch[1](317/26479): Loss: 16324.4052734375
===> Epoch[1](318/26479): Loss: 10791.4511718750
===> Epoch[1](319/26479): Loss: 11397.6171875000
===> Epoch[1](320/26479): Loss: 9741.7500000000
===> Epoch[1](321/26479): Loss: 13622.7324218750
===> Epoch[1](322/26479): Loss: 11233.8681640625
===> Epoch[1](323/26479): Loss: 20659.4023437500
===> Epoch[1](324/26479): Loss: 15610.6376953125
===> Epoch[1](325/26479): Loss: 11198.1367187500
===> Epoch[1](326/26479): Loss: 12548.9531250000
===> Epoch[1](327/26479): Loss: 17938.4375000000
===> Epoch[1](328/26479): Loss: 11081.4482421875
===> Epoch[1](329/26479): Loss: 11000.2539062500
===> Epoch[1](330/26479): Loss: 8347.6689453125
===> Epoch[1](331/26479): Loss: 12462.1875000000
