2118371 data samples found
Train Epoch: 0 [25700/52959 (0.013530883938074112)]
Train Epoch: 0 [25800/52959 (0.013132773339748383)]
Train Epoch: 0 [25900/52959 (0.006168697495013475)]
Train Epoch: 0 [26000/52959 (0.008526414632797241)]
Train Epoch: 0 [26100/52959 (0.008686907589435577)]
Train Epoch: 0 [26200/52959 (0.006401965394616127)]
Train Epoch: 0 [26300/52959 (0.005120729561895132)]
Train Epoch: 0 [26400/52959 (0.004874279256910086)]
Train Epoch: 0 [26500/52959 (0.01586006209254265)]
Train Epoch: 0 [26600/52959 (0.006504286080598831)]
Train Epoch: 0 [26700/52959 (0.008272871375083923)]
Train Epoch: 0 [26800/52959 (0.009318320080637932)]
Train Epoch: 0 [26900/52959 (0.006748673971742392)]
Train Epoch: 0 [27000/52959 (0.006662932224571705)]
Train Epoch: 0 [27100/52959 (0.00857296772301197)]
Train Epoch: 0 [27200/52959 (0.008629776537418365)]
Train Epoch: 0 [27300/52959 (0.014529943466186523)]
Train Epoch: 0 [27400/52959 (0.013329675421118736)]
Train Epoch: 0 [27500/52959 (0.012661157175898552)]
Train Epoch: 0 [27600/52959 (0.005822092294692993)]
Train Epoch: 0 [27700/52959 (0.012244712561368942)]
Train Epoch: 0 [27800/52959 (0.006017583888024092)]
Train Epoch: 0 [27900/52959 (0.007047127932310104)]
Train Epoch: 0 [28000/52959 (0.005612771958112717)]
Train Epoch: 0 [28100/52959 (0.014516288414597511)]
Train Epoch: 0 [28200/52959 (0.005874793976545334)]
Train Epoch: 0 [28300/52959 (0.009000711143016815)]
Train Epoch: 0 [28400/52959 (0.006119106896221638)]
Train Epoch: 0 [28500/52959 (0.00883398950099945)]
Train Epoch: 0 [28600/52959 (0.004887403920292854)]
Train Epoch: 0 [28700/52959 (0.008898000232875347)]
Train Epoch: 0 [28800/52959 (0.007590644992887974)]
Train Epoch: 0 [28900/52959 (0.00611646706238389)]
Train Epoch: 0 [29000/52959 (0.010759650729596615)]
Train Epoch: 0 [29100/52959 (0.006649867631494999)]
Train Epoch: 0 [29200/52959 (0.007132367696613073)]
Train Epoch: 0 [29300/52959 (0.006627362687140703)]
Train Epoch: 0 [29400/52959 (0.006340929307043552)]
Train Epoch: 0 [29500/52959 (0.006265255622565746)]
Train Epoch: 0 [29600/52959 (0.0229974202811718)]
Train Epoch: 0 [29700/52959 (0.005891797132790089)]
Train Epoch: 0 [29800/52959 (0.00945170409977436)]
Train Epoch: 0 [29900/52959 (0.006959711667150259)]
Train Epoch: 0 [30000/52959 (0.010478416457772255)]
Train Epoch: 0 [30100/52959 (0.004559333436191082)]
Train Epoch: 0 [30200/52959 (0.01386119332164526)]
Train Epoch: 0 [30300/52959 (0.010283678770065308)]
Train Epoch: 0 [30400/52959 (0.0256197489798069)]
Train Epoch: 0 [30500/52959 (0.006282194517552853)]
Train Epoch: 0 [30600/52959 (0.006235257722437382)]
Train Epoch: 0 [30700/52959 (0.006347826682031155)]
