2118371 data samples found
Train Epoch: 0 [27500/169469 (0.04827719181776047)]
Train Epoch: 0 [27600/169469 (0.030975598841905594)]
Train Epoch: 0 [27700/169469 (0.02649441920220852)]
Train Epoch: 0 [27800/169469 (0.0717284306883812)]
Train Epoch: 0 [27900/169469 (0.05460188537836075)]
Train Epoch: 0 [28000/169469 (0.05646709352731705)]
Train Epoch: 0 [28100/169469 (0.04390550032258034)]
Train Epoch: 0 [28200/169469 (0.02219327725470066)]
Train Epoch: 0 [28300/169469 (0.05432705953717232)]
Train Epoch: 0 [28400/169469 (0.058913905173540115)]
Train Epoch: 0 [28500/169469 (0.01415556576102972)]
Train Epoch: 0 [28600/169469 (0.02358996495604515)]
Train Epoch: 0 [28700/169469 (0.027578426524996758)]
Train Epoch: 0 [28800/169469 (0.06318525224924088)]
Train Epoch: 0 [28900/169469 (0.0600866936147213)]
Train Epoch: 0 [29000/169469 (0.03765187785029411)]
Train Epoch: 0 [29100/169469 (0.04056420549750328)]
Train Epoch: 0 [29200/169469 (0.04076024889945984)]
Train Epoch: 0 [29300/169469 (0.03572669252753258)]
Train Epoch: 0 [29400/169469 (0.060928404331207275)]
Train Epoch: 0 [29500/169469 (0.07010465115308762)]
Train Epoch: 0 [29600/169469 (0.03983307257294655)]
Train Epoch: 0 [29700/169469 (0.07077465951442719)]
Train Epoch: 0 [29800/169469 (0.051649060100317)]
Train Epoch: 0 [29900/169469 (0.043465711176395416)]
Train Epoch: 0 [30000/169469 (0.04994822293519974)]
Train Epoch: 0 [30100/169469 (0.029560178518295288)]
Train Epoch: 0 [30200/169469 (0.04455447196960449)]
Train Epoch: 0 [30300/169469 (0.03499378636479378)]
Train Epoch: 0 [30400/169469 (0.03849479928612709)]
Train Epoch: 0 [30500/169469 (0.03864007070660591)]
Train Epoch: 0 [30600/169469 (0.043505992740392685)]
Train Epoch: 0 [30700/169469 (0.007186458446085453)]
Train Epoch: 0 [30800/169469 (0.035462636500597)]
Train Epoch: 0 [30900/169469 (0.05406828597187996)]
Train Epoch: 0 [31000/169469 (0.07843438535928726)]
Train Epoch: 0 [31100/169469 (0.042055483907461166)]
Train Epoch: 0 [31200/169469 (0.02045830897986889)]
Train Epoch: 0 [31300/169469 (0.04283154755830765)]
Train Epoch: 0 [31400/169469 (0.046054448932409286)]
Train Epoch: 0 [31500/169469 (0.07596930116415024)]
Train Epoch: 0 [31600/169469 (0.03390569984912872)]
Train Epoch: 0 [31700/169469 (0.029767019674181938)]
Train Epoch: 0 [31800/169469 (0.03947807103395462)]
Train Epoch: 0 [31900/169469 (0.030415920540690422)]
Train Epoch: 0 [32000/169469 (0.042268235236406326)]
Train Epoch: 0 [32100/169469 (0.03784216195344925)]
Train Epoch: 0 [32200/169469 (0.022198086604475975)]
Train Epoch: 0 [32300/169469 (0.030948448926210403)]
Train Epoch: 0 [32400/169469 (0.034355271607637405)]
Train Epoch: 0 [32500/169469 (0.022955795750021935)]
Train Epoch: 0 [32600/169469 (0.017606187611818314)]
Train Epoch: 0 [32700/169469 (0.048582497984170914)]
Train Epoch: 0 [32800/169469 (0.04680950567126274)]
Train Epoch: 0 [32900/169469 (0.03469794988632202)]
Train Epoch: 0 [33000/169469 (0.02470291033387184)]
Train Epoch: 0 [33100/169469 (0.07462726533412933)]
Train Epoch: 0 [33200/169469 (0.06961404532194138)]
Train Epoch: 0 [33300/169469 (0.04340077564120293)]
Train Epoch: 0 [33400/169469 (0.02562054432928562)]
Train Epoch: 0 [33500/169469 (0.04384055733680725)]
Train Epoch: 0 [33600/169469 (0.03743439540266991)]
Train Epoch: 0 [33700/169469 (0.06646199524402618)]
Train Epoch: 0 [33800/169469 (0.046972136944532394)]
Train Epoch: 0 [33900/169469 (0.03797890618443489)]
Train Epoch: 0 [34000/169469 (0.02308725193142891)]
Train Epoch: 0 [34100/169469 (0.05958103761076927)]
Train Epoch: 0 [34200/169469 (0.048906028270721436)]
Train Epoch: 0 [34300/169469 (0.026666684076189995)]
Train Epoch: 0 [34400/169469 (0.05555930361151695)]
Train Epoch: 0 [34500/169469 (0.03187869116663933)]
Train Epoch: 0 [34600/169469 (0.045101240277290344)]
Train Epoch: 0 [34700/169469 (0.04480022192001343)]
Train Epoch: 0 [34800/169469 (0.0403631292283535)]
Train Epoch: 0 [34900/169469 (0.03382745385169983)]
Train Epoch: 0 [35000/169469 (0.03451475128531456)]
Train Epoch: 0 [35100/169469 (0.03158104047179222)]
Train Epoch: 0 [35200/169469 (0.05876120552420616)]
Train Epoch: 0 [35300/169469 (0.07050685584545135)]
Train Epoch: 0 [35400/169469 (0.03521536663174629)]
Train Epoch: 0 [35500/169469 (0.04043176397681236)]
Train Epoch: 0 [35600/169469 (0.02837476134300232)]
Train Epoch: 0 [35700/169469 (0.030892804265022278)]
Train Epoch: 0 [35800/169469 (0.02464725822210312)]
Train Epoch: 0 [35900/169469 (0.04956727847456932)]
Train Epoch: 0 [36000/169469 (0.03960645571351051)]
Train Epoch: 0 [36100/169469 (0.061265792697668076)]
Train Epoch: 0 [36200/169469 (0.039362043142318726)]
Train Epoch: 0 [36300/169469 (0.03169267252087593)]
Train Epoch: 0 [36400/169469 (0.05925418809056282)]
Train Epoch: 0 [36500/169469 (0.051314931362867355)]
Train Epoch: 0 [36600/169469 (0.02904907800257206)]
Train Epoch: 0 [36700/169469 (0.04219406843185425)]
Train Epoch: 0 [36800/169469 (0.025941038504242897)]
Train Epoch: 0 [36900/169469 (0.05184508115053177)]
Train Epoch: 0 [37000/169469 (0.050384558737277985)]
Train Epoch: 0 [37100/169469 (0.05324222519993782)]
Train Epoch: 0 [37200/169469 (0.028729910030961037)]
Train Epoch: 0 [37300/169469 (0.05493071302771568)]
Train Epoch: 0 [37400/169469 (0.03250550106167793)]
Train Epoch: 0 [37500/169469 (0.026347488164901733)]
Train Epoch: 0 [37600/169469 (0.045134421437978745)]
Train Epoch: 0 [37700/169469 (0.06318851560354233)]
Train Epoch: 0 [37800/169469 (0.044167373329401016)]
Train Epoch: 0 [37900/169469 (0.03314973786473274)]
Train Epoch: 0 [38000/169469 (0.028403712436556816)]
Train Epoch: 0 [38100/169469 (0.02415006048977375)]
Train Epoch: 0 [38200/169469 (0.0314268134534359)]
Train Epoch: 0 [38300/169469 (0.017433088272809982)]
