nohup: ignoring input
2118371 data samples found
Train Epoch: 0 [31400/52959 (0.008820706978440285)]
Train Epoch: 0 [31500/52959 (0.008851628750562668)]
Train Epoch: 0 [31600/52959 (0.011042675003409386)]
Train Epoch: 0 [31700/52959 (0.010059542953968048)]
Train Epoch: 0 [31800/52959 (0.007761644199490547)]
Train Epoch: 0 [31900/52959 (0.007112567313015461)]
Train Epoch: 0 [32000/52959 (0.006985425483435392)]
Train Epoch: 0 [32100/52959 (0.009548289701342583)]
Train Epoch: 0 [32200/52959 (0.009313441812992096)]
Train Epoch: 0 [32300/52959 (0.009187523275613785)]
Train Epoch: 0 [32400/52959 (0.007784787565469742)]
Train Epoch: 0 [32500/52959 (0.015100928023457527)]
Train Epoch: 0 [32600/52959 (0.013339381664991379)]
Train Epoch: 0 [32700/52959 (0.00921509601175785)]
Train Epoch: 0 [32800/52959 (0.00475821690633893)]
Train Epoch: 0 [32900/52959 (0.00907927192747593)]
Train Epoch: 0 [33000/52959 (0.014729046262800694)]
Train Epoch: 0 [33100/52959 (0.01199614442884922)]
Train Epoch: 0 [33200/52959 (0.009881782345473766)]
Train Epoch: 0 [33300/52959 (0.011669070459902287)]
Train Epoch: 0 [33400/52959 (0.009024761617183685)]
Train Epoch: 0 [33500/52959 (0.024163153022527695)]
Train Epoch: 0 [33600/52959 (0.004734568297863007)]
Train Epoch: 0 [33700/52959 (0.005248461849987507)]
Train Epoch: 0 [33800/52959 (0.0056419335305690765)]
Train Epoch: 0 [33900/52959 (0.014357107691466808)]
Train Epoch: 0 [34000/52959 (0.00720239756628871)]
Train Epoch: 0 [34100/52959 (0.00799424946308136)]
Train Epoch: 0 [34200/52959 (0.009943865239620209)]
Train Epoch: 0 [34300/52959 (0.007796266116201878)]
Train Epoch: 0 [34400/52959 (0.019161216914653778)]
Train Epoch: 0 [34500/52959 (0.011656219139695168)]
Train Epoch: 0 [34600/52959 (0.007396873086690903)]
Train Epoch: 0 [34700/52959 (0.006158164702355862)]
Train Epoch: 0 [34800/52959 (0.008188106119632721)]
Train Epoch: 0 [34900/52959 (0.007615669630467892)]
Train Epoch: 0 [35000/52959 (0.007495837286114693)]
Train Epoch: 0 [35100/52959 (0.009811768308281898)]
Train Epoch: 0 [35200/52959 (0.010384190827608109)]
Train Epoch: 0 [35300/52959 (0.008587569929659367)]
Train Epoch: 0 [35400/52959 (0.007006258703768253)]
Train Epoch: 0 [35500/52959 (0.010684764012694359)]
Train Epoch: 0 [35600/52959 (0.010061386972665787)]
Train Epoch: 0 [35700/52959 (0.008052575401961803)]
Train Epoch: 0 [35800/52959 (0.006546583957970142)]
Train Epoch: 0 [35900/52959 (0.004764368757605553)]
Train Epoch: 0 [36000/52959 (0.006421599071472883)]
Train Epoch: 0 [36100/52959 (0.0058471327647566795)]
Train Epoch: 0 [36200/52959 (0.008427522145211697)]
Train Epoch: 0 [36300/52959 (0.03566509485244751)]
Train Epoch: 0 [36400/52959 (0.0123091209679842)]
Train Epoch: 0 [36500/52959 (0.0140618234872818)]
Train Epoch: 0 [36600/52959 (0.007270973175764084)]
Train Epoch: 0 [36700/52959 (0.008773554116487503)]
Train Epoch: 0 [36800/52959 (0.005352494306862354)]
Train Epoch: 0 [36900/52959 (0.007904822938144207)]
Train Epoch: 0 [37000/52959 (0.004872983321547508)]
Train Epoch: 0 [37100/52959 (0.010773131623864174)]
Train Epoch: 0 [37200/52959 (0.009929144755005836)]
Train Epoch: 0 [37300/52959 (0.013700088486075401)]
